Token,Role,Light / Hex,Light / Opacity & Details,Dark / Hex,Dark / Opacity & Details,Extra Dark / Hex,Extra Dark / Opacity & Details,Classic Light / Hex,Classic Light / Opacity & Details,Classic Dark / Hex,Classic Dark / Opacity & Details,Electricity / Hex,Electricity / Opacity & Details,Indigo / Hex,Indigo / Opacity & Details,Radioactivity / Hex,Radioactivity / Opacity & Details,Rosé / Hex,Rosé / Opacity & Details,High Contrast Light / Hex,High Contrast Light / Opacity & Details,High Contrast Dark / Hex,High Contrast Dark / Opacity & Details
,,,,,,,,,,,,,,,,,,,,,,,
$primary-ui-01,"background of sheets, top layer sheets (episode cards, dialogues)",#FFFFFF,100%,#292B2E,100%,#222427,100%,#FFFFFF,100%,#292B2E,100%,#19232B,100%,#ECEDE6,100%,#162F1E,100%,#fff0eb,100%,#ffffff,100%,#000000,100%
$primary-ui-01-active,web player menus hover state / option sheet menus tap state,#F7F9FA,100%,#383A3D,100%,#E0E6EA,10%,#F7F9FA,100%,#383A3D,100%,#171C24,100%,#F1F2EF,100%,#193D25,100%,#fff9f7,100%,#f7f9fa,100%,#1b1b1b,100%
$primary-ui-02,"background of rows, and row-like elements",#FFFFFF,100%,#1A1B1D,100%,#000000,100%,#FFFFFF,100%,#1A1B1D,100%,#161A20,100%,#F4F5F2,100%,#0d1b11,100%,#FFEEED,100%,#ffffff,100%,#000000,100%
$primary-ui-02-selected,"row select state, multiselect",#E6F6FE,100%,#1E333D,100%,#1F1F1F,100%,#FEECEB,100%,#3C2323,100%,#1A2C34,100%,#E2E4E5,100%,#173119,100%,#f7caca,100%,#e5e5e5,100%,#262626,100%
$primary-ui-02-active,background of rows when tapped,#F7F9FA,100%,#222427,100%,#161717,100%,#F7F9FA,100%,#222427,100%,#1B212A,100%,#F7F9FA,100%,#0d1b11,100%,#fce2de,100%,#f2f2f2,100%,#1b1b1b,100%
$primary-ui-03,"big areas, tab bar background",#FAFAFA,100%,#202124,100%,#080808,100%,#FAFAF9,100%,#161718,100%,#171C25,100%,#EFEFEF,100%,#162f1e,100%,#F7E2E2,100%,#ffffff,100%,#000000,100%
$primary-ui-04,"space between rows, deepest, darkest hell",#F7F9FA,100%,#161718,100%,#000000,100%,#F7F9FA,100%,#161718,100%,#111419,100%,#ECEDE6,100%,#111419,100%,#FCE6E6,100%,#ffffff,100%,#000000,100%
$primary-ui-05,"divider, stroke of messages, pagination dots",#E0E6EA,100%,#393A3C,100%,#393A3C,50%,#E0E6EA,100%,#393A3C,100%,#1E3C4A,100%,#D8DCDC,100%,#27591a,100%,#f5d1c4,100%,#e4e4e4,100%,#333333,100%
$primary-ui-05-selected,selected pagination dot,#8F97A4,100%,#8F97A4,100%,#686C74,100%,#8F97A4,100%,#8F97A4,100%,#3FD2E6,100%,#556675,100%,#70e84e,100%,#e53958,100%,#000000,100%,#ffffff,100%
$primary-ui-06,message / alert panel backgrounds,#F7F9FA,100%,#303337,100%,#2D2F31,100%,#F7F9FA,100%,#303337,100%,#1B2933,100%,#E8E8DF,100%,#1a3e11,100%,#fff8f7,100%,#ffffff,100%,#000000,100%
$primary-icon-01,"default icon colour for sheets (dialogues, menus)",#03A9F4,100%,#33B8F4,100%,#50D0F1,100%,#F43E37,100%,#FB5146,100%,#3FD2E6,100%,#3D4E70,100%,#74f864,100%,#f05d54,100%,#000000,100%,#ffffff,100%
